============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           May 23 2023  12:39:44 am
  Module:                 model_baseline
  Technology libraries:   scadv10_cln65gp_lvt_ff_1p1v_m40c 1.0
                          physical_cells 
  Operating conditions:   scadv10_cln65gp_lvt_ff_1p1v_m40c 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                      Instance                                            Module                        Cell Count   Cell Area   Net Area    Total Area 
    N1[12].N2[377].TR                               tmr_TRIPLICATE1h0_3733                                       2      13.200       1.067       14.267 
    N1[12].N2[376].TR                               tmr_TRIPLICATE1h0_3732                                       2      13.200       1.067       14.267 
    N1[12].N2[375].TR                               tmr_TRIPLICATE1h1_6291                                       2      13.200       1.067       14.267 
    N1[12].N2[374].TR                               tmr_TRIPLICATE1h0_3731                                       2      13.200       1.067       14.267 
    N1[12].N2[373].TR                               tmr_TRIPLICATE1h0_3730                                       2      13.200       1.067       14.267 
    N1[12].N2[372].TR                               tmr_TRIPLICATE1h0_3729                                       2      13.200       1.067       14.267 
    N1[12].N2[371].TR                               tmr_TRIPLICATE1h1_6290                                       2      13.200       1.067       14.267 
    N1[12].N2[370].TR                               tmr_TRIPLICATE1h1_6289                                       2      13.200       1.067       14.267 
    N1[12].N2[369].TR                               tmr_TRIPLICATE1h1_6288                                       2      13.200       1.067       14.267 
    N1[12].N2[368].TR                               tmr_TRIPLICATE1h1_6287                                       2      13.200       1.067       14.267 
    N1[12].N2[367].TR                               tmr_TRIPLICATE1h1_6286                                       2      14.000       1.067       15.067 
    N1[12].N2[366].TR                               tmr_TRIPLICATE1h0_3728                                       2      13.200       1.067       14.267 
    N1[12].N2[365].TR                               tmr_TRIPLICATE1h0_3727                                       2      13.200       1.067       14.267 
    N1[12].N2[364].TR                               tmr_TRIPLICATE1h0_3726                                       2      13.200       1.067       14.267 
    N1[12].N2[363].TR                               tmr_TRIPLICATE1h1_6285                                       2      13.200       1.067       14.267 
    N1[12].N2[362].TR                               tmr_TRIPLICATE1h1_6284                                       2      13.200       1.067       14.267 
    N1[12].N2[361].TR                               tmr_TRIPLICATE1h1_6283                                       2      13.200       1.067       14.267 
    N1[12].N2[360].TR                               tmr_TRIPLICATE1h1_6282                                       2      14.000       1.067       15.067 
    N1[12].N2[359].TR                               tmr_TRIPLICATE1h1_6281                                       2      14.000       1.067       15.067 
    N1[12].N2[358].TR                               tmr_TRIPLICATE1h1_6280                                       2      13.200       1.067       14.267 
    N1[12].N2[357].TR                               tmr_TRIPLICATE1h0_3725                                       2      13.200       1.067       14.267 
    N1[12].N2[356].TR                               tmr_TRIPLICATE1h1_6279                                       2      14.000       1.067       15.067 
